Source: ACS 5-Year Estimates - Public Use Microdata Sample 2018
Weight used: PWGTP
"Universe: default universe (usually US)"
"","Sex (SEX)","",""
"Standard Occupational Classification (SOC) codes for 2018 and later based on 2018 SOC codes","Total","Male","Female"
"PRD-Tool And Die Makers","69320","68024","1296"
"PRD-Welding, Soldering, And Brazing Workers","737958","696650","41308"
"PRD-Other Metal Workers And Plastic Workers","505980","396783","109197"
"PRD-Prepress Technicians And Workers","34357","18107","16250"
"PRD-Printing Press Operators","212053","163370","48683"
"PRD-Print Binding And Finishing Workers","25844","14712","11132"
"PRD-Laundry And Dry-Cleaning Workers","244910","92314","152596"
"PRD-Pressers, Textile, Garment, And Related Materials","52193","16548","35645"
"PRD-Sewing Machine Operators","241090","58288","182802"
"PRD-Shoe And Leather Workers","16277","11240","5037"
"PRD-Tailors, Dressmakers, And Sewers","96895","22094","74801"
"PRD-Textile Machine Setters, Operators, And Tenders","37043","16761","20282"
"PRD-Upholsterers","39964","32287","7677"
"PRD-Other Textile, Apparel, And Furnishing Workers","25372","14626","10746"
"PRD-Cabinetmakers And Bench Carpenters","66345","62132","4213"
"PRD-Furniture Finishers","16504","12748","3756"
"PRD-Sawing Machine Setters, Operators, And Tenders, Wood","41146","37327","3819"
"PRD-Woodworking Machine Setters, Operators, And Tenders, Except Sawing","24269","19206","5063"
"PRD-Other Woodworkers","38965","35585","3380"
"PRD-Power Plant Operators, Distributors, And Dispatchers","56295","52461","3834"
"PRD-Stationary Engineers And Boiler Operators","105685","101835","3850"
"PRD-Water And Wastewater Treatment Plant And System Operators","101368","95430","5938"
"PRD-Miscellaneous Plant And System Operators","52387","48619","3768"
"PRD-Chemical Processing Machine Setters, Operators, And Tenders","67979","59456","8523"
"PRD-Crushing, Grinding, Polishing, Mixing, And Blending Workers","102709","89814","12895"
"PRD-Cutting Workers","88856","66450","22406"
"PRD-Extruding, Forming, Pressing, And Compacting Machine Setters, Operators, And Tenders","37458","30291","7167"
"PRD-Furnace, Kiln, Oven, Drier, And Kettle Operators And Tenders","14403","11077","3326"
"PRD-Inspectors, Testers, Sorters, Samplers, And Weighers","1021833","625237","396596"
"PRD-Jewelers And Precious Stone And Metal Workers","47490","26226","21264"
"Dental And Ophthalmic Laboratory Technicians And Medical Appliance Technicians","98504","46816","51688"
"PRD-Packaging And Filling Machine Operators And Tenders","358600","161914","196686"
"PRD-Painting Workers","174610","152198","22412"
"PRD-Photographic Process Workers And Processing Machine Operators","38007","19109","18898"
"PRD-Computer Numerically Controlled Tool Operators And Programmers","187491","159361","28130"
"PRD-Adhesive Bonding Machine Operators And Tenders","12262","7202","5060"
"PRD-Etchers And Engravers","12448","7913","4535"
"PRD-Molders, Shapers, And Casters, Except Metal And Plastic","38507","32693","5814"
"PRD-Paper Goods Machine Setters, Operators, And Tenders","30906","21537","9369"
"PRD-Tire Builders","16829","15230","1599"
"PRD-Helpers-Production Workers","71494","51944","19550"
"PRD-Miscellaneous Production Workers, Including Equipment Operators and Tenders","1500453","1056441","444012"
"TRN-Supervisors Of Transportation And Material Moving Workers","277695","215749","61946"
"TRN-Aircraft Pilots And Flight Engineers","184991","173677","11314"
"TRN-Air Traffic Controllers And Airfield Operations Specialists","47682","37563","10119"
"TRN-Flight Attendants","120033","26140","93893"
"TRN-Ambulance Drivers And Attendants, Except Emergency Medical Technicians","16824","12107","4717"
"TRN-Driver/Sales Workers And Truck Drivers","4318900","4013957","304943"
"TRN-Bus Drivers, School","396675","184585","212090"
"TRN-Bus Drivers, Transit And Intercity","325974","210596","115378"
"TRN-Shuttle Drivers and Chauffeurs","230434","182570","47864"
"TRN-Taxi Drivers","389910","335672","54238"
"TRN-Motor Vehicle Operators, All Other","90222","73953","16269"
"TRN-Locomotive Engineers And Operators","52490","50887","1603"
"TRN-Railroad Conductors And Yardmasters","60515","56397","4118"
"TRN-Other Rail Transportation Workers","28150","25106","3044"
"TRN-Ship And Boat Captains And Operators","56366","51903","4463"
"TRN-Sailors And Marine Oilers, And Ship Engineers","42807","39408","3399"
"TRN-Parking Lot Attendants","119130","101142","17988"
"TRN-Transportation Service Attendants","135745","116668","19077"
"TRN-Transportation Inspectors","55474","46612","8862"
"TRN-Passenger Attendants","39751","16204","23547"
"TRN-Other Transportation Workers","24713","20510","4203"
"TRN-Crane And Tower Operators","74207","71734","2473"
"TRN-Industrial Truck And Tractor Operators","727440","671960","55480"
"TRN-Cleaners Of Vehicles And Equipment","505115","422539","82576"
"TRN-Laborers And Freight, Stock, And Material Movers, Hand","3095917","2485433","610484"
"TRN-Machine Feeders And Offbearers","39546","20457","19089"
"TRN-Packers And Packagers, Hand","706463","303559","402904"
"TRN-Stockers And Order Fillers","2237420","1434618","802802"
"TRN-Pumping Station Operators","30084","28574","1510"
"TRN-Refuse And Recyclable Material Collectors","132245","116464","15781"
"TRN-Conveyor, Dredge, And Hoist And Winch Operators","25339","22808","2531"
"TRN-Other Material Moving Workers","83558","74249","9309"
"MIL-Military Officer Special And Tactical Operations Leaders","48483","43734","4749"
"MIL-First-Line Enlisted Military Supervisors","99801","86591","13210"
"MIL-Military Enlisted Tactical Operations And Air/Weapons Specialists And Crew Members","183335","162291","21044"
"MIL-Military, Rank Not Specified","268081","227562","40519"
"Unemployed And Last Worked 5 Years Ago Or Earlier Or Never Worked","1913414","943764","969650"
